1	0.1760	15.4415	0.3443
2	0.0839	15.5092	0.3667
3	0.0663	17.8609	0.4108
1	0.0811	18.9507	0.5071
2	0.0371	21.3885	0.6240
3	0.0248	22.6678	0.7103
4	0.0192	23.6174	0.7536
5	0.0162	24.7313	0.7879
6	0.0148	24.8929	0.7981
7	0.0134	25.2142	0.8153
8	0.0126	25.4101	0.8232
9	0.0120	25.7504	0.8335
10	0.0116	25.6968	0.8330
11	0.0114	26.0893	0.8437
12	0.0110	25.8071	0.8410
13	0.0108	26.1836	0.8477
14	0.0103	26.0409	0.8504
15	0.0104	26.3115	0.8511
16	0.0103	26.2378	0.8502
17	0.0098	26.4204	0.8521
18	0.0100	26.3127	0.8540
19	0.0098	26.5212	0.8561
20	0.0096	26.6472	0.8554
21	0.0095	26.7274	0.8621
22	0.0093	26.8657	0.8638
23	0.0092	26.5401	0.8611
24	0.0094	26.7668	0.8644
25	0.0091	26.9132	0.8668
26	0.0093	26.4608	0.8587
27	0.0092	26.6045	0.8599
28	0.0092	26.8376	0.8677
29	0.0089	26.4658	0.8661
30	0.0089	26.9579	0.8689
31	0.0090	26.7841	0.8689
32	0.0090	26.9214	0.8689
33	0.0090	27.0432	0.8706
34	0.0086	27.0549	0.8731
35	0.0085	26.9180	0.8694
36	0.0087	26.7516	0.8680
37	0.0086	26.9812	0.8724
38	0.0089	26.4145	0.8616
39	0.0087	26.9967	0.8718
40	0.0084	26.9179	0.8690
41	0.0085	26.3623	0.8676
42	0.0085	26.9876	0.8690
43	0.0084	26.5723	0.8590
44	0.0083	26.9140	0.8730
45	0.0084	27.1971	0.8773
46	0.0085	27.0114	0.8758
47	0.0083	26.8992	0.8745
48	0.0084	26.9584	0.8742
49	0.0082	27.1949	0.8779
50	0.0081	27.1652	0.8787
51	0.0080	27.1415	0.8776
52	0.0080	27.2846	0.8809
53	0.0080	27.2448	0.8790
54	0.0080	27.1687	0.8792
55	0.0080	27.1062	0.8776
56	0.0080	27.1563	0.8789
57	0.0080	27.1229	0.8796
58	0.0080	27.0774	0.8782
59	0.0080	27.1219	0.8797
60	0.0080	27.0118	0.8776
61	0.0080	27.0049	0.8795
62	0.0080	27.2610	0.8800
63	0.0080	27.1694	0.8797
64	0.0080	27.0337	0.8780
